"합계","자치구","사고유형","소계","사고통계","year","case"
"합계","서울시","합계","소계","발생건수 (건)","2007",39410
"합계","서울시","합계","소계","발생건수 (건)","2008",41702
"합계","서울시","합계","소계","발생건수 (건)","2009",44320
"합계","서울시","합계","소계","발생건수 (건)","2010",41662
"합계","서울시","합계","소계","발생건수 (건)","2011",40451
"합계","서울시","합계","소계","발생건수 (건)","2012",40829
"합계","서울시","합계","소계","발생건수 (건)","2013",39439
"합계","서울시","합계","소계","발생건수 (건)","2014",40792
"합계","서울시","합계","소계","발생건수 (건)","2015",41665
"합계","서울시","합계","소계","발생건수 (건)","2016",40039
"합계","서울시","합계","소계","발생건수 (건)","2017",38625
"합계","서울시","합계","소계","발생건수 (건)","2018",38795
"합계","서울시","합계","소계","발생건수 (건)","2019",39258
"합계","서울시","합계","소계","발생건수 (건)","2020",35227
"합계","서울시","합계","소계","발생건수 (건)","2021",33913
"합계","서울시","합계","소계","사망자수 (명)","2007",452
"합계","서울시","합계","소계","사망자수 (명)","2008",482
"합계","서울시","합계","소계","사망자수 (명)","2009",501
"합계","서울시","합계","소계","사망자수 (명)","2010",429
"합계","서울시","합계","소계","사망자수 (명)","2011",435
"합계","서울시","합계","소계","사망자수 (명)","2012",424
"합계","서울시","합계","소계","사망자수 (명)","2013",378
"합계","서울시","합계","소계","사망자수 (명)","2014",400
"합계","서울시","합계","소계","사망자수 (명)","2015",376
"합계","서울시","합계","소계","사망자수 (명)","2016",348
"합계","서울시","합계","소계","사망자수 (명)","2017",343
"합계","서울시","합계","소계","사망자수 (명)","2018",304
"합계","서울시","합계","소계","사망자수 (명)","2019",250
"합계","서울시","합계","소계","사망자수 (명)","2020",219
"합계","서울시","합계","소계","사망자수 (명)","2021",243
"합계","서울시","합계","소계","부상자수 (명)","2007",57517
"합계","서울시","합계","소계","부상자수 (명)","2008",59937
"합계","서울시","합계","소계","부상자수 (명)","2009",63584
"합계","서울시","합계","소계","부상자수 (명)","2010",59718
"합계","서울시","합계","소계","부상자수 (명)","2011",57625
"합계","서울시","합계","소계","부상자수 (명)","2012",58583
"합계","서울시","합계","소계","부상자수 (명)","2013",56761
"합계","서울시","합계","소계","부상자수 (명)","2014",57345
"합계","서울시","합계","소계","부상자수 (명)","2015",58656
"합계","서울시","합계","소계","부상자수 (명)","2016",55669
"합계","서울시","합계","소계","부상자수 (명)","2017",53810
"합계","서울시","합계","소계","부상자수 (명)","2018",53751
"합계","서울시","합계","소계","부상자수 (명)","2019",53904
"합계","서울시","합계","소계","부상자수 (명)","2020",47513
"합계","서울시","합계","소계","부상자수 (명)","2021",45223
"합계","서울시","차대사람","소계","발생건수 (건)","2007",9371
"합계","서울시","차대사람","소계","발생건수 (건)","2008",10468
"합계","서울시","차대사람","소계","발생건수 (건)","2009",10987
"합계","서울시","차대사람","소계","발생건수 (건)","2010",10783
"합계","서울시","차대사람","소계","발생건수 (건)","2011",10869
"합계","서울시","차대사람","소계","발생건수 (건)","2012",10892
"합계","서울시","차대사람","소계","발생건수 (건)","2013",10683
"합계","서울시","차대사람","소계","발생건수 (건)","2014",11118
"합계","서울시","차대사람","소계","발생건수 (건)","2015",11318
"합계","서울시","차대사람","소계","발생건수 (건)","2016",10683
"합계","서울시","차대사람","소계","발생건수 (건)","2017",10249
"합계","서울시","차대사람","소계","발생건수 (건)","2018",9978
"합계","서울시","차대사람","소계","발생건수 (건)","2019",9896
"합계","서울시","차대사람","소계","발생건수 (건)","2020",7671
"합계","서울시","차대사람","소계","발생건수 (건)","2021",7075
"합계","서울시","차대사람","소계","사망자수 (명)","2007",219
"합계","서울시","차대사람","소계","사망자수 (명)","2008",256
"합계","서울시","차대사람","소계","사망자수 (명)","2009",241
"합계","서울시","차대사람","소계","사망자수 (명)","2010",223
"합계","서울시","차대사람","소계","사망자수 (명)","2011",246
"합계","서울시","차대사람","소계","사망자수 (명)","2012",235
"합계","서울시","차대사람","소계","사망자수 (명)","2013",215
"합계","서울시","차대사람","소계","사망자수 (명)","2014",214
"합계","서울시","차대사람","소계","사망자수 (명)","2015",211
"합계","서울시","차대사람","소계","사망자수 (명)","2016",196
"합계","서울시","차대사람","소계","사망자수 (명)","2017",189
"합계","서울시","차대사람","소계","사망자수 (명)","2018",182
"합계","서울시","차대사람","소계","사망자수 (명)","2019",139
"합계","서울시","차대사람","소계","사망자수 (명)","2020",113
"합계","서울시","차대사람","소계","사망자수 (명)","2021",120
"합계","서울시","차대사람","소계","부상자수 (명)","2007",9781
"합계","서울시","차대사람","소계","부상자수 (명)","2008",10840
"합계","서울시","차대사람","소계","부상자수 (명)","2009",11519
"합계","서울시","차대사람","소계","부상자수 (명)","2010",11238
"합계","서울시","차대사람","소계","부상자수 (명)","2011",11309
"합계","서울시","차대사람","소계","부상자수 (명)","2012",11383
"합계","서울시","차대사람","소계","부상자수 (명)","2013",11159
"합계","서울시","차대사람","소계","부상자수 (명)","2014",11621
"합계","서울시","차대사람","소계","부상자수 (명)","2015",11831
"합계","서울시","차대사람","소계","부상자수 (명)","2016",11144
"합계","서울시","차대사람","소계","부상자수 (명)","2017",10706
"합계","서울시","차대사람","소계","부상자수 (명)","2018",10402
"합계","서울시","차대사람","소계","부상자수 (명)","2019",10320
"합계","서울시","차대사람","소계","부상자수 (명)","2020",7996
